"Row_ID","Order_ID","Order_Date","Ship_Date","Ship_Mode","Customer_ID","Country/Region","City","State/Province","Postal Code","division","region","Product_ID","Product_Name","sales","units","Gross_Profit","cost","prod_margin"
8009,US-2024-147039-CHO-NUT-13000,"6/29/2024","12/25/2029",Standard Class,147039,United States,Minneapolis,Minnesota,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
387,US-2021-158064-CHO-MIL-31000,"4/21/2021","10/16/2026",Standard Class,158064,United States,Los Angeles,California,,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,64.92
1397,US-2021-130729-CHO-MIL-31000,"10/24/2021","4/21/2027",Standard Class,130729,United States,Rancho Cucamonga,California,,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92
2117,US-2022-140921-CHO-TRI-54000,"2/3/2022","7/29/2027",First Class,140921,United States,Omaha,Nebraska,,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
2121,US-2022-140921-CHO-NUT-13000,"2/3/2022","7/29/2027",First Class,140921,United States,Omaha,Nebraska,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.35
2518,US-2022-109939-CHO-SCR-58000,"5/8/2022","11/2/2027",Standard Class,109939,United States,Salem,Oregon,,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,69.44
3660,US-2022-114503-CHO-NUT-13000,"11/13/2022","5/9/2028",Standard Class,114503,United States,Lebanon,Tennessee,,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,71.35
5189,US-2023-126613-CHO-TRI-54000,"7/10/2023","1/5/2029",Standard Class,126613,United States,Mesa,Arizona,,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
6266,US-2023-131065-CHO-NUT-13000,"11/14/2023","5/8/2029",Second Class,131065,United States,Atlanta,Georgia,,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
6269,US-2023-131065-CHO-SCR-58000,"11/14/2023","5/8/2029",Second Class,131065,United States,Atlanta,Georgia,,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,69.44
6271,US-2023-131065-CHO-NUT-13000,"11/14/2023","5/8/2029",Second Class,131065,United States,Atlanta,Georgia,,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
8580,US-2024-169488-CHO-MIL-31000,"9/7/2024","3/2/2030",First Class,169488,United States,Providence,Rhode Island,,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92
8582,US-2024-169488-CHO-TRI-54000,"9/7/2024","3/2/2030",First Class,169488,United States,Providence,Rhode Island,,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33
9950,US-2024-100230-CHO-NUT-13000,"12/11/2024","6/7/2030",Standard Class,100230,United States,New York City,New York,,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,71.35
9956,US-2024-100230-CHO-TRI-54000,"12/11/2024","6/7/2030",Standard Class,100230,United States,New York City,New York,,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33
9961,US-2024-100230-CHO-NUT-13000,"12/11/2024","6/7/2030",Standard Class,100230,United States,New York City,New York,,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
430,US-2021-155271-CHO-TRI-54000,"5/4/2021","10/25/2026",Same Day,155271,United States,Middletown,Connecticut,,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
5231,US-2023-121671-CHO-TRI-54000,"7/17/2023","1/11/2029",Standard Class,121671,United States,Springfield,Missouri,,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33
5232,US-2023-121671-CHO-SCR-58000,"7/17/2023","1/11/2029",Standard Class,121671,United States,Springfield,Missouri,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,69.44
5233,US-2023-121671-CHO-NUT-13000,"7/17/2023","1/11/2029",Standard Class,121671,United States,Springfield,Missouri,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,27.92,8,19.92,8.0,71.35
5235,US-2023-121671-CHO-NUT-13000,"7/17/2023","1/11/2029",Standard Class,121671,United States,Springfield,Missouri,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,71.35
5237,US-2023-121671-CHO-FUD-51000,"7/17/2023","1/11/2029",Standard Class,121671,United States,Springfield,Missouri,,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67
5462,US-2023-114601-CHO-SCR-58000,"8/26/2023","2/22/2029",Standard Class,114601,United States,Detroit,Michigan,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,69.44
5464,US-2023-114601-CHO-SCR-58000,"8/26/2023","2/22/2029",Standard Class,114601,United States,Detroit,Michigan,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44
5469,US-2023-114601-CHO-TRI-54000,"8/26/2023","2/22/2029",Standard Class,114601,United States,Detroit,Michigan,,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
5475,US-2023-114601-CHO-NUT-13000,"8/26/2023","2/22/2029",Standard Class,114601,United States,Detroit,Michigan,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.35
5477,US-2023-114601-CHO-SCR-58000,"8/26/2023","2/22/2029",Standard Class,114601,United States,Detroit,Michigan,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44
7419,US-2024-114412-CHO-TRI-54000,"4/15/2024","10/11/2029",Standard Class,114412,United States,Concord,North Carolina,,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33
659,US-2021-154963-CHO-FUD-51000,"6/22/2021","12/18/2026",Standard Class,154963,United States,Chester,Pennsylvania,,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,66.67
660,US-2021-154963-CHO-TRI-54000,"6/22/2021","12/18/2026",Standard Class,154963,United States,Chester,Pennsylvania,,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33
665,US-2021-154963-CHO-MIL-31000,"6/22/2021","12/18/2026",Standard Class,154963,United States,Chester,Pennsylvania,,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92
1760,US-2021-143210-CHO-FUD-51000,"12/1/2021","5/26/2027",First Class,143210,United States,Lowell,Massachusetts,,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67
1761,US-2021-143210-CHO-MIL-31000,"12/1/2021","5/26/2027",First Class,143210,United States,Lowell,Massachusetts,,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92
1766,US-2021-143210-CHO-FUD-51000,"12/1/2021","5/26/2027",First Class,143210,United States,Lowell,Massachusetts,,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67
3701,US-2022-110863-CHO-FUD-51000,"11/17/2022","5/16/2028",Standard Class,110863,United States,Oklahoma City,Oklahoma,,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,66.67
3704,US-2022-110863-CHO-FUD-51000,"11/17/2022","5/16/2028",Standard Class,110863,United States,Oklahoma City,Oklahoma,,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67
3708,US-2022-110863-CHO-FUD-51000,"11/17/2022","5/16/2028",Standard Class,110863,United States,Oklahoma City,Oklahoma,,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.67
5147,US-2023-147137-CHO-FUD-51000,"7/4/2023","12/26/2028",First Class,147137,United States,San Francisco,California,,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,66.67
5148,US-2023-147137-CHO-MIL-31000,"7/4/2023","12/26/2028",First Class,147137,United States,San Francisco,California,,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,64.92
5150,US-2023-147137-CHO-FUD-51000,"7/4/2023","12/26/2028",First Class,147137,United States,San Francisco,California,,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67
5151,US-2023-147137-CHO-NUT-13000,"7/4/2023","12/26/2028",First Class,147137,United States,San Francisco,California,,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,71.35
5575,US-2023-131205-CHO-TRI-54000,"9/4/2023","2/28/2029",Standard Class,131205,United States,Georgetown,Kentucky,,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33
5581,US-2023-131205-CHO-SCR-58000,"9/4/2023","2/28/2029",Standard Class,131205,United States,Georgetown,Kentucky,,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44
5582,US-2023-131205-CHO-MIL-31000,"9/4/2023","2/28/2029",Standard Class,131205,United States,Georgetown,Kentucky,,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,64.92
5588,US-2023-131205-CHO-TRI-54000,"9/4/2023","2/28/2029",Standard Class,131205,United States,Georgetown,Kentucky,,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,65.33
9332,US-2024-157196-CHO-NUT-13000,"11/5/2024","5/2/2030",Standard Class,157196,United States,San Diego,California,,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
120,US-2021-152905-CHO-FUD-51000,"2/18/2021","8/17/2026",Standard Class,152905,United States,Arlington,Texas,,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67
162,US-2021-156587-CHO-NUT-13000,"3/7/2021","8/29/2026",First Class,156587,United States,Seattle,Washington,,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,71.35
165,US-2021-156587-CHO-FUD-51000,"3/7/2021","8/29/2026",First Class,156587,United States,Seattle,Washington,,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67
168,US-2021-156587-CHO-FUD-51000,"3/7/2021","8/29/2026",First Class,156587,United States,Seattle,Washington,,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67
6176,US-2023-140935-CHO-MIL-31000,"11/10/2023","5/4/2029",First Class,140935,United States,Oklahoma City,Oklahoma,,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92
6209,US-2023-140935-CHO-NUT-13000,"11/10/2023","5/4/2029",First Class,140935,United States,Oklahoma City,Oklahoma,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
3230,US-2022-150511-CHO-MIL-31000,"9/18/2022","3/16/2028",Standard Class,150511,United States,Des Moines,Washington,,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92
4434,US-2023-108637-CHO-MIL-31000,"3/13/2023","9/7/2028",Standard Class,108637,United States,Waynesboro,Virginia,,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92
4437,US-2023-108637-CHO-TRI-54000,"3/13/2023","9/7/2028",Standard Class,108637,United States,Waynesboro,Virginia,,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
4442,US-2023-108637-CHO-SCR-58000,"3/13/2023","9/7/2028",Standard Class,108637,United States,Waynesboro,Virginia,,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,69.44
5504,US-2023-161207-CHO-NUT-13000,"8/29/2023","2/23/2029",Standard Class,161207,United States,Concord,New Hampshire,,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.35
5520,US-2023-129714-CHO-SCR-58000,"9/1/2023","2/23/2029",First Class,129714,United States,New York City,New York,,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,69.44
5522,US-2023-129714-CHO-FUD-51000,"9/1/2023","2/23/2029",First Class,129714,United States,New York City,New York,,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.67
5526,US-2023-129714-CHO-NUT-13000,"9/1/2023","2/23/2029",First Class,129714,United States,New York City,New York,,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
5527,US-2023-129714-CHO-NUT-13000,"9/1/2023","2/23/2029",First Class,129714,United States,New York City,New York,,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,71.35
5530,US-2023-129714-CHO-TRI-54000,"9/1/2023","2/23/2029",First Class,129714,United States,New York City,New York,,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,65.33
7588,US-2024-159688-CHO-SCR-58000,"5/7/2024","11/2/2029",Standard Class,159688,United States,Los Angeles,California,,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,69.44
8735,US-2024-134173-CHO-NUT-13000,"9/16/2024","3/14/2030",Standard Class,134173,United States,Philadelphia,Pennsylvania,,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,71.35
9329,US-2024-118213-OTH-GUM-21000,"11/5/2024","4/30/2030",First Class,118213,United States,Greenwood,Indiana,,Other,Interior,OTH-GUM-21000,Wonka Gum,3.75,3,1.95,1.8,52.00
9331,US-2024-118213-CHO-TRI-54000,"11/5/2024","4/30/2030",First Class,118213,United States,Greenwood,Indiana,,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,65.33
9333,US-2024-118213-CHO-TRI-54000,"11/5/2024","4/30/2030",First Class,118213,United States,Greenwood,Indiana,,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,37.5,10,24.5,13.0,65.33
9340,US-2024-107174-CHO-TRI-54000,"11/6/2024","5/6/2030",Standard Class,107174,United States,Seattle,Washington,,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
9345,US-2024-107174-CHO-FUD-51000,"11/6/2024","5/6/2030",Standard Class,107174,United States,Seattle,Washington,,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,66.67
9365,US-2024-107174-CHO-MIL-31000,"11/6/2024","5/6/2030",Standard Class,107174,United States,Seattle,Washington,,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92
1922,US-2021-103100-CHO-NUT-13000,"12/20/2021","6/15/2027",First Class,103100,United States,Indianapolis,Indiana,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.35
1925,US-2021-103100-CHO-FUD-51000,"12/20/2021","6/15/2027",First Class,103100,United States,Indianapolis,Indiana,,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,66.67
3573,US-2022-163181-CHO-SCR-58000,"11/7/2022","5/4/2028",Standard Class,163181,United States,Houston,Texas,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,69.44
3574,US-2022-163181-CHO-SCR-58000,"11/7/2022","5/4/2028",Standard Class,163181,United States,Houston,Texas,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44
3575,US-2022-163181-CHO-MIL-31000,"11/7/2022","5/4/2028",Standard Class,163181,United States,Houston,Texas,,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,64.92
3582,US-2022-163181-CHO-MIL-31000,"11/7/2022","5/4/2028",Standard Class,163181,United States,Houston,Texas,,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92
3583,US-2022-163181-CHO-TRI-54000,"11/7/2022","5/4/2028",Standard Class,163181,United States,Houston,Texas,,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
3584,US-2022-163181-CHO-NUT-13000,"11/7/2022","5/4/2028",Standard Class,163181,United States,Houston,Texas,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.35
4282,US-2023-147431-CHO-TRI-54000,"2/2/2023","7/30/2028",Standard Class,147431,United States,New York City,New York,,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
5829,US-2023-122245-CHO-FUD-51000,"9/25/2023","3/22/2029",Standard Class,122245,United States,Phoenix,Arizona,,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67
6675,US-2023-117121-CHO-FUD-51000,"12/17/2023","6/12/2029",Standard Class,117121,United States,Detroit,Michigan,,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,46.8,13,31.2,15.6,66.67
7677,US-2024-121643-CHO-FUD-51000,"5/18/2024","11/10/2029",First Class,121643,United States,Portland,Oregon,,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67
7823,US-2024-126788-CHO-SCR-58000,"6/5/2024","11/27/2029",First Class,126788,United States,Pearland,Texas,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44
8268,US-2024-140781-CHO-MIL-31000,"8/3/2024","1/28/2030",Standard Class,140781,United States,Bloomington,Illinois,,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92
8784,US-2024-153822-CHO-MIL-31000,"9/19/2024","3/18/2030",Standard Class,153822,United States,Phoenix,Arizona,,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,64.92
8786,US-2024-153822-CHO-FUD-51000,"9/19/2024","3/18/2030",Standard Class,153822,United States,Phoenix,Arizona,,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67
8789,US-2024-153822-CHO-NUT-13000,"9/19/2024","3/18/2030",Standard Class,153822,United States,Phoenix,Arizona,,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
8791,US-2024-153822-CHO-MIL-31000,"9/19/2024","3/18/2030",Standard Class,153822,United States,Phoenix,Arizona,,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92
9546,US-2024-101042-CHO-MIL-31000,"11/19/2024","5/16/2030",Standard Class,101042,United States,Henderson,Kentucky,,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,64.92
9555,US-2024-101042-CHO-TRI-54000,"11/19/2024","5/16/2030",Standard Class,101042,United States,Henderson,Kentucky,,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
156,US-2021-169061-CHO-TRI-54000,"3/5/2021","8/29/2026",Second Class,169061,United States,Yonkers,New York,,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33
157,US-2021-169061-CHO-NUT-13000,"3/5/2021","8/29/2026",Second Class,169061,United States,Yonkers,New York,,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,71.35
158,US-2021-169061-CHO-TRI-54000,"3/5/2021","8/29/2026",Second Class,169061,United States,Yonkers,New York,,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
159,US-2021-169061-CHO-NUT-13000,"3/5/2021","8/29/2026",Second Class,169061,United States,Yonkers,New York,,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
160,US-2021-169061-CHO-TRI-54000,"3/5/2021","8/29/2026",Second Class,169061,United States,Yonkers,New York,,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33
3141,US-2022-168186-CHO-FUD-51000,"9/10/2022","3/7/2028",Standard Class,168186,United States,Tulsa,Oklahoma,,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67
4275,US-2023-147970-CHO-TRI-54000,"1/31/2023","7/25/2028",Second Class,147970,United States,Dallas,Texas,,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33
8559,US-2024-120761-CHO-FUD-51000,"9/4/2024","3/1/2030",Standard Class,120761,United States,Long Beach,New York,,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.67
9544,US-2024-158876-CHO-NUT-13000,"11/19/2024","5/14/2030",Second Class,158876,United States,Carrollton,Texas,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.35
9553,US-2024-158876-CHO-SCR-58000,"11/19/2024","5/14/2030",Second Class,158876,United States,Carrollton,Texas,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,69.44
9562,US-2024-158876-CHO-SCR-58000,"11/19/2024","5/14/2030",Second Class,158876,United States,Carrollton,Texas,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,69.44
9565,US-2024-158876-CHO-SCR-58000,"11/19/2024","5/14/2030",Second Class,158876,United States,Carrollton,Texas,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,69.44
1592,US-2021-139500-CHO-SCR-58000,"11/16/2021","5/13/2027",Standard Class,139500,United States,Decatur,Illinois,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,69.44
1933,CA-2021-126634-CHO-FUD-51000,"12/20/2021","6/14/2027",Second Class,126634,Canada,Vancouver,British Columbia,,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,66.67
2304,US-2022-131534-CHO-SCR-58000,"3/28/2022","9/23/2027",Standard Class,131534,United States,Los Angeles,California,,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,69.44
2306,US-2022-131534-CHO-TRI-54000,"3/28/2022","9/23/2027",Standard Class,131534,United States,Los Angeles,California,,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,65.33
